GEOFFREYMICHAELGADD,中国科学院新疆生态与地理研究所
肖建伟,北京林业大学
唐莎巍,哈尔滨工业大学
雷作涛,哈尔滨工业大学
董德坤,青岛理工大学
艾育华,中国科学院工程热物理研究所
马艺,浙江工业大学
郭永丽,首都医科大学
程建丽,中国工程物理研究院化工材料研究所
曹新华,信阳师范学院
邹芳,南昌大学
段平国,南昌大学
郭准,中国科学院大气物理研究所
林亚维,武汉理工大学
臧洪俊,天津工业大学
崔孝玲,兰州理工大学
杨纪恩,河南师范大学
宋洪庆,北京科技大学
章树业,复旦大学
史晓光,中国医科大学
卢锋,河南大学
焦伟,中国科学院兰州化学物理研究所
郝继功,聊城大学
汪丽佩,浙江中医药大学
王海兵,浙江中医药大学
朱复希,安徽医科大学
季江徽,中国科学院紫金山天文台
徐晓娜,中国科学院上海有机化学研究所
胡占英,中国医学科学院医药生物技术研究所
魏莉,武汉理工大学
李晓妮,中国科学技术大学
陈列,湖北工业大学
满凤媛,首都医科大学
陈勃伟,北京有色金属研究总院
邰凯平,中国科学院金属研究所
佘茂云,安徽省农业科学院
沈兴菊,西南民族大学
盛宇俊,安徽医科大学
章海鹰,中国科学院国家天文台南京天文光学技术研究所
王宪,湖南科技大学
侯永辉,中国科学院国家天文台南京天文光学技术研究所
郑峥,中国农业科学院蔬菜花卉研究所
陈芹芹,中国农业科学院原子能利用研究所
唐芳,贵阳中医学院
刘存明,太原理工大学
达娃卓玛,西藏藏医学院
鲁红升,西南石油大学
马仲辉,广西大学
孟祥梅,国家海洋局第一海洋研究所
唐杨,中国科学院地球化学研究所
韩叶俭,福建农林大学
谢志春,广西医科大学
唐晓琴,西藏大学农牧学院
阿依姑丽·艾合麦提,新疆农业大学
肖小彬,湖北工程学院
孙通,江西农业大学
孙富林,中国科学院南海海洋研究所
徐康,中国科学院南海海洋研究所
许馨予,南京医科大学
乔纯,南京医科大学
孙珊珊,中国石油大学（北京）
王锋,中国空气动力研究与发展中心
朱世凯,电子科技大学
徐_,东北林业大学
张吉斯,鞍山师范学院
李丁,湖南工业大学
莫兴波,苏州大学
王文洁,苏州大学
应优敏,浙江工业大学
陈学新,宁夏医科大学
刘中宁,北京大学
权力,西北农林科技大学
张欢,同济大学
吴晓丹,复旦大学
李东亮,华东师范大学
倪诚,北京大学
尹国宇,华东师范大学
叶毅,西安建筑科技大学
樊维佳,同济大学
王宪恩,吉林大学
代杨,上海交通大学
周一鸣,上海应用技术学院
许仁义,扬州大学
陈璐璐,南京医科大学
任海,河北科技师范学院
邵洁,天津医科大学
胡媛,上海海洋大学
王鹤,东北电力大学
Matthaiou Michail,东南大学
沈曼,河北师范大学
周余庆,温州大学
李一杰,辽宁大学
秦文静,天津理工大学
卢平,贵州大学
彭广,华中科技大学
宋渤,西安交通大学
江南,西南交通大学
周致富,西安交通大学
杨长卫,西南交通大学
齐欣,西南交通大学
闫海龙,重庆大学
杨赞,清华大学
霍永忠,复旦大学
周园红,三峡大学
丁华胜,三峡大学
栾贻会,山东大学
高晓鸽,徐州医学院
燕玉娥,西安交通大学
吴祯乾,上海交通大学
王伟涛,陕西科技大学
吴岚,上海交通大学
杨敬贺,河南大学
郭光霞,中国科学院青藏高原研究所
刘卫强,北京工业大学
高彩球,东北林业大学
王晓鹏,哈尔滨工业大学
何树斌,西北农林科技大学
任晓灵,中国科学院化学研究所
钱志刚,上海交通大学
何湘伟,北京林业大学
卢松涛,哈尔滨工业大学
杨剑群,哈尔滨工业大学
许尔蛟,中山大学
唐志明,中山大学
王友元,中山大学
司婧娜,北京林业大学
董晓清,深圳信息职业技术学院
耿晓伟,辽宁工程技术大学
苏欣颖,哈尔滨商业大学
王小梅,河北工业大学
梁晨,江苏大学
张孝良,江苏大学
孔祥阳,昆明理工大学
闫凯,山东建筑大学
刘辰庚,首都医科大学
廖波,浙江工商大学
丁文政,南京工程学院
刘桂荣,山西大学
张晴,上海应用技术学院
宋小军,上海电力学院
曾涛涛,南华大学
牛红攀,中国工程物理研究院总体工程研究所
高下,南京大学
梁伟红,广西师范大学
王照林,清华大学
万林林,湖南科技大学
贾凡,中国科学院武汉物理与数学研究所
佟立涛,中国农业科学院原子能利用研究所
何超,安徽大学
李妹燕,右江民族医学院
商黔惠,遵义医学院
宋慈安,桂林理工大学
徐大庆,河北农业大学
郑思波,重庆大学
刘见礼,上海大学
邓毅,甘肃中医药大学
桂冠,电子科技大学
胡永红,中国科学院遥感与数字地球研究所
张晓平,中国农业科学院蔬菜花卉研究所
裴扬,西北工业大学
刘立军,扬州大学
吴晓芬,国家海洋局第二海洋研究所
秦大军,中国科学院地质与地球物理研究所
刘凯欣,北京大学
刘芫健,南京邮电大学
王春宇,北京控制工程研究所
栾贻花,中国科学院大气物理研究所
李嘉伟,中国科学院大气物理研究所
符瑜,中国科学院大气物理研究所
哈伟,中国科学院兰州化学物理研究所
董树清,中国科学院兰州化学物理研究所
王利涛,中国科学院兰州化学物理研究所
毛秀珍,四川师范大学
李洪光,中国科学院兰州化学物理研究所
丁志军,中国人民解放军防化研究院
谢明胜,河南师范大学
孙小飞,中钢集团洛阳耐火材料研究院有限公司
陈振中,上海无线电设备研究所
罗坚义,五邑大学
呼微,长春工业大学
薛亮,中国石油大学（北京）
庞宏,中国石油大学（北京）
徐克,天津医科大学
刘龙丁,中国医学科学院医学生物学研究所
肖小华,中山大学
蔡由生,武汉大学
杜宇昊,武汉大学
刘光华,辽宁中医药大学
季韶洋,中国科学院过程工程研究所
郭亚丹,东华理工大学
陈成军,中国科学院过程工程研究所
周阳,江西理工大学
陈恒文,中国中医科学院广安门医院
孙东永,长安大学
钟南京,广东药学院
郭群,中国科学院地理科学与资源研究所
曾凡,中国人民解放军第三军医大学
董国强,中国人民解放军第二军医大学
赵爽,中南大学
赵南蓉,四川大学
张新宝,华中科技大学
纪腾,华中科技大学
刘源振,中国科学院武汉植物园
陈雪娟,南京医科大学
邵_,南京医科大学
张建涛,东北农业大学
于晓琳,中国科学院过程工程研究所
江元生,南京大学
赵韩生,国际竹藤中心
张明芳,电子科技大学
崔茜,电子科技大学
甘甜,浙江理工大学
徐虹,中国医学科学院北京协和医院
宋_彬,杭州师范大学
陶向,中国科学院成都生物研究所
张彦,中国科学院生物物理研究所
杨锦,天津医科大学
何学青,西北农林科技大学
常丽丽,山东大学
单媛媛,西北农林科技大学
李文博,天津医科大学
韩锋,西北农林科技大学
骆必继,中国地质大学（武汉）
沈克,同济大学
华夏,天津医科大学
王现伟,新乡医学院
聂红明,上海中医药大学
胡婷华,西安交通大学
郭云山,西安交通大学
魏海东,西安交通大学
刘文龙,广州医科大学
陈景龙,西安交通大学
陈江行,上海交通大学
范小杉,中国环境科学研究院
冯子军,太原理工大学
刘晓芬,浙江大学
张帅兵,河南工业大学
刘贵珊,宁夏大学
张玉玉,北京工商大学
关二旗,河南工业大学
曾长淦,中国科学技术大学
王恒通,陕西师范大学
凌晓辉,衡阳师范学院
凌天佑,上海交通大学
陈松文,上海交通大学
詹兆尧,中国科学院重庆绿色智能技术研究院
吴振凯,上海交通大学
韩广华,上海交通大学
黄启帅,中国科学院青藏高原研究所
杨一博,中国科学院青藏高原研究所
王恩多,中国科学院上海生命科学研究院
陈玲玲,中国科学院上海生命科学研究院
余佳,中国医学科学院基础医学研究所
许岳飞,西北农林科技大学
霍忠明,大连海洋大学
潘伦,天津大学
吴凤英,同济大学
束韫,中国环境科学研究院
王彦杰,南京农业大学
黄雪,仲恺农业工程学院
王汉坤,国际竹藤中心
付俊,中国医学科学院基础医学研究所
祁哲晨,浙江理工大学
张烨,杭州师范大学
徐晓玲,杭州师范大学
汪松虎,中国科学院成都生物研究所
吴水龙,北京理工大学
杨水源,中国地质大学（武汉）
倪倩,中国地质大学（武汉）
陈海红,中国地质大学（武汉）
李珊,湖北医药学院
蔡茂林,北京航空航天大学
刘菲菲,山东大学
姚平,中国科学院青藏高原研究所
郭文焕,上海交通大学
薛敏,徐州医学院
周开乐,合肥工业大学
盛玲玲,上海交通大学
崔雪婷,上海财经大学
江婷婷,鲁东大学
Md·Jahidul Islam Shohag,浙江大学
皮春梅,湖北第二师范学院
高占国,新乡医学院
赵先锋,滁州学院
李若谷,上海交通大学
王晓群,上海交通大学
李占成,中国科学院重庆绿色智能技术研究院
陈颜夙,徐州医学院
张必良,中国科学院广州生物医药与健康研究院
李国亮,华中农业大学
金倩,同济大学
郑振,哈尔滨工业大学
李小斌,哈尔滨工业大学
席杰军,西北农林科技大学
吴魁,中国科学院化学研究所
杨琪,西安交通大学
顾华,同济大学
王金凯,山东科技大学
吴向嵩,上海交通大学
韩民锦,重庆大学
丁宝弘,中国科学院青藏高原研究所
巫鑫,广东医学院
席本野,北京林业大学
张连杰,华南理工大学
宏波,华南理工大学
聂昆,泰山学院
戴舒宇,大连理工大学
杨林梅,沈阳工业大学
焦翔宇,华东师范大学
祝美珍,广西中医药大学
刘维佳,贵州省人民医院
黄文坛,广西壮族自治区人民医院
郭兆贵,中南大学
郑秀龙,中国人民解放军第二军医大学
闻良珍,华中科技大学
陈启鎏,中国科学院水生生物研究所
阚秀,上海工程技术大学
刘显明,重庆大学
张兆国,中国科学院上海有机化学研究所
黄昭波,复旦大学
杨承运,北京大学
张树伟,清华大学
王润三,西北大学
邵嘉裕,同济大学
成昌梅,清华大学
邓子辰,西北工业大学
龙亿涛,华东理工大学
贾静,西安电子科技大学
魏天昊,中国科学院西双版纳热带植物园
韩骅,中国人民解放军第四军医大学
胡雅儿,上海交通大学
沈孝宙,中国科学院动物研究所
富路,哈尔滨医科大学
凌黎明,华南理工大学
严祥安,西安工程大学
何志华,中国人民解放军国防科学技术大学
徐梦溪,南京工程学院
耿_,上海海事大学
全齐全,哈尔滨工业大学
袁正中,闽南师范大学
亓兴勤,山东大学
孙磊,中国科学院大连化学物理研究所
梁医,南京理工大学
郑李娟,广东工业大学
范德松,南京理工大学
韦长元,广西壮族自治区肿瘤防治研究所
殷雪东,重庆医科大学
吴志鹏,中国人民解放军第二军医大学
刘继筑,山东大学
王_,哈尔滨工业大学
沈少明,上海交通大学
郝芹,济南大学
齐蕾,济南大学
谭功军,暨南大学
金美青,杭州电子科技大学
陈菲,广州医科大学
陈巍巍,徐州医学院
刘素茹,上海交通大学
陈荷娟,南京理工大学
袁东亮,中国科学院海洋研究所
韩卫华,兰州大学
盛泉,天津大学
姜枫,广西中医药大学
周军利,甘肃省人民医院
齐普生,新疆维吾尔自治区畜牧科学院
徐阿炳,浙江大学
张日清,清华大学
郝乃斌,中国科学院植物研究所
夏宗勤,上海交通大学
孙大业,河北师范大学
杜焕基,中国科学院上海生命科学研究院
郭莉莉,中国人民解放军军事医学科学院
杨树勋,延边朝鲜族自治州水产技术推广站
马阎星,中国人民解放军国防科学技术大学
司光远,东北大学
彭汝芳,西南科技大学
刘少创,中国科学院遥感应用研究所
郭炳火,国家海洋局第一海洋研究所
汤国安,西北大学
洪渊,华东师范大学
崔景彪,中国科学技术大学
冷劲松,哈尔滨工业大学
卿凤翎,中国科学院上海有机化学研究所
陈永乐,太原理工大学
李罡,中国科学院南京地质古生物研究所
尹大力,中国医学科学院
曾珊,中南大学
孙楫舟,中国科学院电子学研究所
李雁南,大连交通大学
曹艳荣,西安电子科技大学
袁如意,中国科学院自动化研究所
秦迎梅,天津职业技术师范大学
刘益芳,厦门大学
赵兆,南京理工大学
杜广龙,华南理工大学
秦岩丁,南开大学
马志博,中国科学院大连化学物理研究所
田鸣,中国科学院大连化学物理研究所
周贺鹏,江西理工大学
朱小飞,南京中医药大学
于希忠,南京中医药大学
成于思,东南大学
吕辉,武汉大学
文凤华,中南大学
贾凌飞,北京大学
周晓芳,华南师范大学
季卫丹,中国人民解放军第二军医大学
李锡,中国医科大学
孔祥毓,中国人民解放军第二军医大学
韩志鹏,中国人民解放军第二军医大学
曹付傲,中国人民解放军第二军医大学
陈城,中国科学院福建物质结构研究所
曹运兴,河南理工大学
逯素梅,山东大学
景斐,山东大学
杨青亮,合肥工业大学
李双德,中国科学院过程工程研究所
秦红玲,三峡大学
陶华超,三峡大学
姜海波,石河子大学
江瑞芬,中山大学
蒋_,复旦大学
张保强,厦门大学
刘青林,山东大学
张强波,山东大学
关凤英,吉林大学
吕晓,山东大学
郑志明,山东大学
汤玉奇,中南大学
刘真,广州医科大学
孙帅辉,西安理工大学
张树鹏,南京理工大学
石晓琴,南京理工大学
张立平,佛山科学技术学院
罗浩军,重庆医科大学
王鹤鸣,东北大学
刘迎伟,西安理工大学
蒋树龙,中国中医科学院广安门医院
焦敏,西安交通大学
周晓勃,西安交通大学
秦夏明,江西经济管理干部学院
赵骞,浙江大学
王静鸽,河南科技大学
杨秀丽,盐城工学院
颜王吉,合肥工业大学
朱亚林,合肥工业大学
杨迪,成都理工大学
石小军,四川大学
王勇杰,浙江大学
付凯飞,中国人民解放军海军总医院
彭勇刚,山东大学
余月力,武汉大学
杨咚咚,西安理工大学
张顺,西安电子科技大学
邱建军,华中科技大学
熊稳,重庆大学
梁艳丽,云南农业大学
覃雪军,广西壮族自治区人民医院
尹海燕,华侨大学
王锐英,桂林医学院
郭祖记,太原理工大学
郑洪波,同济大学
曾佐勋,中国地质大学（武汉）
周东美,中国科学院南京土壤研究所
徐晖,中国人民解放军第四军医大学
王聚乐,西藏大学
刘寄星,中国科学院理论物理研究所
迟振华,中国科学院合肥物质科学研究院
柴春彦,上海交通大学
许振丰,中国航天科工飞航技术研究院
邓岳芬,北京大学
刘举鹏,中国科学院动物研究所
韩素莉,中国疾病预防控制中心职业卫生与中毒控制所
何予卿,华中农业大学
哈达,内蒙古大学
王万杰,郑州大学
赵志祥,中国原子能科学研究院
张铭杰,兰州大学
谢建成,合肥工业大学
孙延鸣,石河子大学
董正高,东南大学
姜保国,北京大学
马伟强,中国科学院青藏高原研究所
赖旭芝,中国地质大学（武汉）
王睿,北京科技大学
刘星光,中国人民解放军第二军医大学
刘锐平,中国科学院生态环境研究中心
徐桂霞,中国科学院植物研究所
杨占旭,辽宁石油化工大学
唐_磊,西南石油大学
周春花,南昌大学
王良海,石河子大学
李新芝,石河子大学
罗宁宁,南昌航空大学
马颖东,内蒙古大学
楼宇丽,昆明理工大学
欧海龙,贵州医科大学
张庆堂,兰州理工大学
谢能中,广西科学院
林志芬,同济大学
孙书恺,中国人民解放军第四军医大学
孙中婵,中国人民解放军第四军医大学
童瑾,重庆医科大学
田海军,中国人民解放军第二军医大学
王凤梅,东南大学
倪海锋,东南大学
方利平,中国地质大学（武汉）
汪君,中山大学
王华磊,华东理工大学
巩艳青,北京大学
魏玮,江南大学
黄晓莉,山东大学
周鹏,中国人民解放军第三军医大学
蔡鑫泽,中国医科大学
庄园,中国人民解放军第三军医大学
郭世伟,中国人民解放军第二军医大学
魏婧,中国科学院福建物质结构研究所
常梦洁,西安科技大学
张敬,同济大学
李培山,山东大学
龚蕾,山东大学
王萃娟,西南交通大学
包志红,沈阳药科大学
陈法法,三峡大学
李英海,三峡大学
刘瑞丽,复旦大学
查冬青,武汉大学
尹太郎,武汉大学
余方,武汉大学
陈安静,山东大学
余运波,中国科学院生态环境研究中心
周雪峰,广东省自动化研究所
汪朋飞,深圳大学
孙晓静,北京交通大学
范学良,苏州大学
张长东,南京理工大学
张文灿,佛山科学技术学院
刘德儿,江西理工大学
胡煜昭,昆明理工大学
周贵云,电子科技大学
庄诗美,中山大学
王玉波,东北大学
李旦,同济大学
杜平,中国环境科学研究院
郭梦_,徐州医学院
金建军,合肥工业大学
胡志祥,合肥工业大学
景月岭,合肥工业大学
许小燕,合肥工业大学
孙致学,中国石油大学（华东）
陶永霞,新疆农业大学
夏红英,江西科技师范大学
李建昌,云南师范大学
马清祥,宁夏大学
蔡雄,湖南中医药大学
高春红,西南大学
许桂英,重庆理工大学
徐芒,西南交通大学
张狂,哈尔滨工业大学
王文俊,浙江大学
宾月珍,大连理工大学
揭志刚,南昌大学
沈雄虎,延边大学
况晓东,南昌大学
吴贤波,海南医学院
许传志,昆明医科大学
李雨谦,电子科技大学
邬强,海南医学院
孙素荣,新疆大学
马木提江·阿巴拜克热,新疆医科大学
施晓_,贵州医科大学
曾斌芳,新疆医科大学
金少举,宁夏医科大学
马勋,石河子大学
许东元,延边大学
李振江,南昌大学
曹玲玲,南昌大学
刘舒,中国科学院大连化学物理研究所
钟振,贵州师范大学
苏会岚,成都医学院
胡彦如,中国科学院西双版纳热带植物园
臧航,西安交通大学
蒋雪,大连理工大学
尹家祥,大理大学
田更,辽宁大学
周国晖,复旦大学
王小磊,南昌大学
陈满生,广西师范大学
毛施君,西安交通大学
张淑雅,宁夏医科大学
石宇红,桂林医学院
王跃科,江南大学
唐小飞,西南财经大学
林美珍,华侨大学
章丹,浙江财经大学
刘征驰,湖南大学
丁婉玲,深圳大学
于文蓁,武汉大学
肖丁丁,山东师范大学
陆文婷,首都经济贸易大学
魏永长,中南财经政法大学
张如林,中国石油大学（华东）
高秀娥,大连大学
孙诚,大连大学
李应卫,武汉大学
孙祥,武汉大学
倪洁蕾,中国科学院上海光学精密机械研究所
高滨,北京大学
杜晓明,华南理工大学
刘熙俊,天津理工大学
苏文超,中国科学院地球化学研究所
罗和生,武汉大学
桂连友,长江大学
买买提沙吾提,新疆大学
汪晨净,西北民族大学
陈金林,南京林业大学
程涛,中国医学科学院
吕钊,安徽大学
孙国杰,湖北中医药大学
刘玉清,中国医学科学院
杨汉波,清华大学
吴学森,蚌埠医学院
王彦芹,塔里木大学
唐富山,遵义医学院
李仁德,兰州大学
张家生,中南大学
李艳宾,塔里木大学
赖生华,西安石油大学
段培永,聊城大学
唐宋琪,海南医学院
王祥科,华北电力大学
刘晓华,清华大学
徐_,中国科学院地球化学研究所
加莎热特·杰力勒,新疆医科大学
付辉政,江西省食品药品检验所
木拉提·哈米提,新疆医科大学
郭道义,赣南师范学院
严明,上海市农业生物基因中心
林家仕,集美大学
梁伟江,玉林师范学院
周鹏鑫,西北师范大学
梁东,广西师范大学
卢章辉,江西师范大学
阿布力克木·阿布力孜,新疆大学
刘富东,皖南医学院
梁广兴,深圳大学
仇亮,中国矿业大学
代煜,南开大学
熊余,重庆邮电大学
郭仁慧,南京理工大学
侯德彬,东南大学
马丽红,华南理工大学
张昭良,济南大学
李明爱,北京工业大学
史新元,北京中医药大学
费本华,国际竹藤中心
蒋爱民,河海大学
靳浩,北京邮电大学
张云洲,东北大学
陈其昕,浙江大学
郝卫东,北京大学
张永杰,南京医科大学
张志仁,中国人民解放军第三军医大学
崔彩莲,北京大学
杨光燃,首都医科大学
丁艳华,吉林大学
窦晓兵,浙江中医药大学
刁飞扬,南京医科大学
姚占海,中国科学院长春应用化学研究所
田玉林,中国科学院近代物理研究所
陈俭喜,华中科技大学
黄长征,华中科技大学
郭会彩,河北医科大学
向娟娟,中南大学
拥措,西藏大学
王功波,中国航天员科研训练中心
高丹丹,中国科学院青海盐湖研究所
张梦萍,中国科学技术大学
雷景生,上海电力学院
于金影,西北大学
乔琛,西安交通大学
徐岗,杭州电子科技大学
杜杨,深圳大学
刘春强,广西中医药大学
薛二兵,华东理工大学
赵晓朋,江南大学
丁兵,中国科学院近代物理研究所
石健,中国科学院近代物理研究所
庄正飞,华南师范大学
杨尧,中国科学院近代物理研究所
庞立龙,中国科学院近代物理研究所
乔永法,青岛大学
撒亚莲,云南省第一人民医院
丁梅,中国科学院遗传与发育生物学研究所
张冠华,中国科学院大连化学物理研究所
肖宇,中国科学院大连化学物理研究所
耿旭辉,中国科学院大连化学物理研究所
肖鹤鸣,南京理工大学
周铁英,清华大学
尚志远,陕西师范大学
朱士群,苏州大学
虞忠衡,中国科学院化学研究所
曹贞斌,中国石油大学（华东）
胡建恺,中国科学技术大学
于澍燕,中国人民大学
王晓钟,太原理工大学
赵永亮,内蒙古大学
徐光宪,北京大学
夏安东,中国科学院化学研究所
戴世坤,中国石油大学（北京）
李振西,中国科学院地质与地球物理研究所兰州油气资源研究中心
程林松,中国石油大学（北京）
刘家琦,哈尔滨工业大学
Vicent Carbonnel,中国科学院海洋研究所
胡聿贤,中国地震局地球物理研究所
顾安忠,上海交通大学
宋海斌,中国科学院地质与地球物理研究所
周鸿秋,中国地质大学（武汉）
潘双夏,浙江大学
黄伟光,中国科学院工程热物理研究所
文云朝,中国科学院地理科学与资源研究所
丑纪范,中国气象局气象干部培训学院
朱而勤,中国海洋大学
徐丽群,上海交通大学
钱逸,中国科学院南京地质古生物研究所
刘新仁,河海大学
夏才初,同济大学
陈子龙,中南大学
佟文琪,吉林大学
马保国,武汉理工大学
王辑慈,北京大学
田洪磊,石河子大学
陈焱焱,中国科学院合肥物质科学研究院
肖虎,中国人民解放军国防科学技术大学
甘锐,北京大学
路晓庆,湖南大学
向乾尹,西南交通大学
穆淑珍,贵州省中国科学院天然产物化学重点实验室
王绍胜,海南省妇幼保健院
韦小丽,贵州大学
涂春华,南昌大学
黄龙,南昌大学
孙良鹏,延边大学
乎宝力格,内蒙古民族大学
马宏锋,兰州工业学院
李勇军,贵州医科大学
刘宝清,西藏藏医学院
杜琳,云南大学
索朗其美,西藏藏医学院
洪涌,红河学院
确生,青海师范大学
温祖标,江西师范大学
魏忠,石河子大学
刘培玲,内蒙古工业大学
罗荣,西南交通大学
佐磊,合肥工业大学
鲍文霞,安徽大学
白玛康卓,西藏大学
杨野,昆明理工大学
黄相中,云南民族大学
贺永雄,内蒙古医科大学
拉喜那木吉拉,内蒙古民族大学
明鑫,电子科技大学
谢跃雷,桂林电子科技大学
李政林,广西科技大学
陈光远,中国地质大学（北京）
沈梦培,中国地震局地震预测研究所
王梦,浙江大学
倪鑫,中国人民解放军第二军医大学
王述洋,东北林业大学
王彦荣,兰州大学
张金渝,云南省农业科学院
郭宪国,大理大学
罗瑛,昆明理工大学
朱剑虹,复旦大学
郭炳南,北京理工大学
牛春吉,中国科学院长春应用化学研究所
赵继宗,首都医科大学
牛丽红,河南大学
周少武,湖南科技大学
蔡玉芳,宁夏医科大学
张亚楼,新疆医科大学
李晶明,南昌大学
涂蓉,海南医学院
王宁菊,宁夏医科大学
吴佩玲,新疆医科大学
金醒_,昆明医科大学
马薇,西北民族大学
刘天德,南昌大学
应雪,石河子大学
祝荫,南昌大学
唐正龙,贵州医科大学
王从新,中国科学院大连化学物理研究所
王清隆,中国热带农业科学院
张有为,大连理工大学
李琰,云南民族大学
王占黎,内蒙古科技大学包头医学院
陈治军,桂林医学院
李奇特,北京大学
沙振东,西安交通大学
王耀雄,中国科学院合肥物质科学研究院
庄光明,聊城大学
陈博,浙江工业大学
孙良奎,中国空气动力研究与发展中心
颜晓勇,遵义医学院
袁嘉丽,云南中医学院
李具宝,云南中医学院
罗婧莹,桂林医学院
冯林,山东大学
李诗,厦门国家会计学院
沈瑾,上海电机学院
闫小欢,西北农林科技大学
刘潇,清华大学
李四光,西南财经大学
郭兰萍,中国中医科学院中药研究所
苟兴春,西安医学院
顾红,南京理工大学
金波,复旦大学
范代娣,西北大学
林贤福,浙江大学
华瑞茂,清华大学
佘志刚,中山大学
何星存,贺州学院
郭康贤,广州大学
李继山,湖南大学
吴高义,中国人民解放军济南军区总医院
张友玉,湖南师范大学
吴郁玲,华中师范大学
郭毅,中国人民解放军信息工程大学
朱梦灵,水利部中国科学院水工程生态研究所
赵文会,上海电力学院
郑杲娉,西南财经大学
徐蕾,浙江工商大学
单春艳,天津医科大学
邱福铭,浙江大学
余红秀,复旦大学
彭穗,中山大学
李豪,重庆交通大学
徐兰,江苏科技大学
曹诗男,对外经济贸易大学
廉鹏,华东政法大学
范春梅,西南交通大学
邹晓平,南京大学
邓常清,湖南中医药大学
施炜,南通大学
周洪澜,吉林大学
李善花,厦门大学
刘烈刚,华中科技大学
禄韶英,西安交通大学
郑荣远,温州医学院
李武军,南京大学
曾庆黎,江西省人民医院
姚永涛,哈尔滨工业大学
汪泱,上海交通大学
谢经武,上海交通大学
温东辉,北京大学
彭娟,中国矿业大学
唐宏宾,长沙理工大学
肖锋,中国人民解放军国防科学技术大学
米立伟,中原工学院
魏二玲,中国人民大学
刘佰运,北京市神经外科研究所
金龙玉,中南大学
蒲晓允,中国人民解放军第三军医大学
戴生明,中国人民解放军第二军医大学
鄢芳,天津医科大学
俞永平,浙江大学
叶舜赞,中国科学院地理科学与资源研究所
Peter Mooney,北京大学
关欣,新疆农业大学
韩有忪,中国科学院海洋研究所
卢武长,成都理工大学
于兴河,中国地质大学（北京）
俞鸿年,南京大学
王文生,内蒙古自治区水利科学研究院
王景明,河北联合大学
丁一汇,中国气象科学研究院
Daniel R· Joswiak,中国科学院青藏高原研究所
胡文宝,长江大学
麦碧娴,中国科学院广州地球化学研究所
唐俊,中国科学技术大学
杨启和,郑州测绘学院
时钟,上海交通大学
王均安,上海大学
万洪富,广东省生态环境与土壤研究所
朱永提,上海市气象科学研究所
李汉鼎,东北师范大学
邬伦,北京大学
Benjamin GUINOT,中国科学院地球环境研究所
杨建忠,西安工程大学
沈先荣,复旦大学
傅慧芳,中国科学院广州地球化学研究所
岳乐平,西北大学
王培荣,长江大学
廖卫华,中国科学院南京地质古生物研究所
赵朝方,中国海洋大学
朱士兴,天津地质矿产研究所
黄庚辰,中国科学院上海硅酸盐研究所
周玉兰,中国科学院紫金山天文台
王椿镛,中国地震局地球物理研究所
陈子shen,中山大学
杜勇,中国海洋大学
曹琼英,南京大学
郭振淮,中国人民大学
李志锦,中国科学院大气物理研究所
宋礼庭,北京大学
刘汉超,成都理工大学
由懋正,中国科学院遗传与发育生物学研究所农业资源研究中心
白玉川,天津大学
左兆荣,中国地震局地球物理研究所
崔盛芹,中国地质科学院地质力学研究所
马培民,中国气象科学研究院
陈明扬,中国科学院地质与地球物理研究所
张栋芸,温州医科大学
韩丽敏,北京大学
王吉华,山东师范大学
毕秀春,中国科学技术大学
俞建青,中国科学技术大学
刘清泉,首都医科大学
罗宏海,石河子大学
李海云,桂林理工大学
曹鑫,广西财经学院
罗定贵,广州大学
李_,南昌大学
王彦辉,广西壮族自治区农业科学院
张德涛,山东大学
赵萌莉,内蒙古农业大学
贾立国,内蒙古农业大学
叶敏,云南农业大学
刘赢男,黑龙江省科学院自然与生态研究所
李艳霞,闽江学院
陆银龙,中国矿业大学
覃礼堂,桂林理工大学
卢贝丽,福建农林大学
兰成忠,福建省农业科学院
周炜帏,中国科学院昆明动物研究所
霍清,北京联合大学
王连月,中国科学院大连化学物理研究所
姚长洪,中国科学院大连化学物理研究所
苗珍花,宁夏医科大学
单娟,成都医学院
丁建军,吉首大学
段君博,西安交通大学
王汉卿,宁夏医科大学
李先辉,吉首大学
万春平,云南中医学院
范小林,赣南师范学院
周国发,南昌大学
汪莉,江西师范大学
徐小琳,石河子大学
宾彬,广西中医药大学
俞松,遵义医学院
李权,遵义医学院
韦传东,右江民族医学院
徐林峰,西北工业大学
尹国路,深圳大学
韦常柱,哈尔滨工业大学
杨淬,云南民族大学
牛一,大连理工大学
杨贺菊,河北科技大学
武静,昆明医科大学
蔡稔,柳州市妇幼保健院
饶毅,北京大学
耿艳娟,中国科学院深圳先进技术研究院
黎飞,东南大学
于雪峰,南昌大学
王振原,西安交通大学
詹维伟,上海交通大学
侯炜,中国中医科学院广安门医院
邹成钢,云南大学
冯光达,广东医学院
李德卫,重庆医科大学
袁予辉,大连医科大学
史建强,广东医学院
马东堂,中国人民解放军国防科学技术大学
刘俊亮,中国科学院近代物理研究所
李桂贤,广西中医药大学
谭若芸,南京医科大学
郑其平,江苏大学
秦阳华,中国人民解放军第二军医大学
辛建保,华中科技大学
吴明星,中山大学
陈中贵,厦门大学
吕晓东,甘肃省农业科学院
李树声,哈尔滨工程大学
肖运海,河南大学
范自柱,华东交通大学
田_,北京师范大学
张天,南京大学
马轶,宁夏医科大学
朱伟,江苏大学
